;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; MG ZT  ; 2002 ; 295 000 ; 107 000 ; 15 апреля; 4,7; 2.5 л; 190 л.с.; механика; бензин;; передний; 8.3 с; Великобритания; 4; 5; 4740; 1780; 1410; 2746; 432; 1485; механика; 5; передний; независимая, пружинная;; дисковые; дисковые; 227; 8.3;; переднее, поперечное; 2497; нет; 190 / 140 при 6500; 245 при 4000; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.5; 80 × 82.8
2; MG 3  ; 2013 ; 415 000 ; 45 000 ; 24 марта;  ; 1.5 л; 106 л.с.; механика; бензин; АИ-95; передний; 10.9 с; Великобритания; 5; 5; 4018; 1729; 1507; 2520; 256/1262; 1125; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 175; 10.9; АИ-95;; 1498; нет; 106 / 78 при 6000; 135 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 75 × 84.8
3; MG ZT  ; 2002 ; 450 000 ; 174 000 ; 28 января; 4,7; 2.5 л; 190 л.с.; механика; бензин;; передний; 8.3 с; Великобритания; 4; 5; 4740; 1780; 1410; 2746; 432; 1485; механика; 5; передний; независимая, пружинная;; дисковые; дисковые; 227; 8.3;; переднее, поперечное; 2497; нет; 190 / 140 при 6500; 245 при 4000; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.5; 80 × 82.8
4; MG ZT  ; 2002 ; 220 000 ; 221 000 ; 20 апреля; 4,7; 2.5 л; 190 л.с.; механика; бензин;; передний; 8.4 с; Великобритания; 5; 5; 4790; 1780; 1410; 2746; 400/1220; 1540; механика; 5; передний; независимая, пружинная;; дисковые; дисковые; 227; 8.4;; переднее, поперечное; 2497; нет; 190 / 140 при 6500; 245 при 4000; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.5; 80 × 82.8
5; MG ZT  ; 2002 ; 130 000 ; 120 000 ; 20 апреля; 4,7; 2.5 л; 190 л.с.; механика; бензин;; передний; 8.4 с; Великобритания; 5; 5; 4790; 1780; 1410; 2746; 400/1220; 1540; механика; 5; передний; независимая, пружинная;; дисковые; дисковые; 227; 8.4;; переднее, поперечное; 2497; нет; 190 / 140 при 6500; 245 при 4000; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.5; 80 × 82.8
6; MG 350  ; 2013 ; 480 000 ; 107 ; 7 апреля;  ; 1.5 л; 106 л.с.; механика; бензин; АИ-95; передний; 11.4 с; Великобритания; 4; 5; 4521; 1788; 1492; 2600; 458; 1265; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 180; 11.4; АИ-95; переднее, поперечное; 1498; нет; 106 / 78 при 6000; 135 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный);; 
7; MG F  ; 2000 ; 349 999 ; 50 000 ; 8 апреля;  ; 1.8 л; 120 л.с.; механика; бензин; АИ-95; задний; 9 с; Великобритания; 2; 2; 3920; 1630; 1260; 2375; 210; 1320; механика; 5; задний; независимая, гидропневмоэлемент; независимая, гидропневмоэлемент; дисковые; дисковые; 193; 9; АИ-95; центральное; 1795; нет; 120 / 88 при 5500; 160 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 80 × 89.3
8; MG ZR  ; 2002 ; 185 297 ; 240 000 ; 21 марта;  ; 1.8 л; 160 л.с.; механика; бензин; АИ-95; передний; 7.8 с; Великобритания; 3; 4, 5; 4011; 1690; 1400; 2502; 304/1090; 1090; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 210; 7.8; АИ-95; переднее, поперечное; 1796; нет; 160 / 118 при 6900; 174 при 4700; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 80 × 89.3
9; MG ZT  ; 2002 ; 300 000 ; 228 000 ; 17 марта; 4,7; 2.5 л; 190 л.с.; механика; бензин;; передний; 8.3 с; Великобритания; 4; 5; 4740; 1780; 1410; 2746; 432; 1485; механика; 5; передний; независимая, пружинная;; дисковые; дисковые; 227; 8.3;; переднее, поперечное; 2497; нет; 190 / 140 при 6500; 245 при 4000; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.5; 80 × 82.8
10; MG F  ; 1997 ; 320 000 ; 143 100 ; 2 июня 2017;  ; 1.8 л; 120 л.с.; механика; бензин; АИ-95; задний; 9 с; Великобритания; 2; 2; 3920; 1630; 1260; 2375; 210; 1320; механика; 5; задний; независимая, гидропневмоэлемент; независимая, гидропневмоэлемент; дисковые; дисковые; 193; 9; АИ-95; центральное; 1795; нет; 120 / 88 при 5500; 160 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 80 × 89.3
11; MG ZT  ; 2003 ; 390 000 ; 118 000 ; 19 марта; 4,7; 2.5 л; 190 л.с.; механика; бензин;; передний; 8.3 с; Великобритания; 4; 5; 4740; 1780; 1410; 2746; 432; 1485; механика; 5; передний; независимая, пружинная;; дисковые; дисковые; 227; 8.3;; переднее, поперечное; 2497; нет; 190 / 140 при 6500; 245 при 4000; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.5; 80 × 82.8
12; MG Midget  ; 1974 ; 520 000 ; 50 000 ; 22 февраля;  ; 1.5 л; 66 л.с.; механика; бензин;; задний;; Великобритания; 2; 2; 3480; 1372; 1232; 2032; ;; механика; 4; задний; независимая, пружинная;; дисковые; барабанные;;;;; 1493; нет; 66 / 49 при 6000;; рядное; 4;; карбюратор;; 
