;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Maserati Quattroporte V  ; 2007 ;1 100 000 ; 60 000 ; 19 апреля; 4,7; 4.2 л; 400 л.с.; автомат; бензин; АИ-98; задний; 5.6 с; Италия; 4; 4; 5052; 1895; 1438; 3064; 450; 1990; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 270; 5.6; АИ-98; переднее, продольное; 4244; нет; 400 / 295 при 7000; 460 при 4750; V-образное; 8; 4; распределенный впрыск (многоточечный); 11; 92 × 79.8
2; Maserati Levante I  ; 2017 ;5 999 000 ; 4 300 ; 18 апреля;  ; 3.0 л; 350 л.с.; автомат; бензин; АИ-95; полный; 6 с; Италия; 5; 5; 5003; 1968; 1679; 3004; 580; 2109; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 251; 6; АИ-95; переднее, продольное; 2979; турбонаддув; 350 / 257 при 5750; 500 при 4500; V-образное; 6; 4; непосредственный впрыск (прямой); 9.7; 86.5 × 84.5
3; Maserati GranTurismo  ; 2008 ;2 400 000 ; 18 649 ; 16 апреля;  ; 4.2 л; 405 л.с.; автомат; бензин; АИ-98; задний; 5.2 с; Италия; 2; 4; 4881; 1847; 1353; 2942; 260; 1880; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 285; 5.2; АИ-98; переднее, продольное; 4244; нет; 405 / 298 при 7100; 460 при 4750; V-образное; 8; 4; распределенный впрыск (многоточечный); 11; 92 × 79.8
4; Maserati Quattroporte V AMT  ; 2006 ; 1 350 000 ; 55 000 ; 24 апреля; 4,7; 4.2 л; 400 л.с.; робот; бензин; АИ-95; задний; 5.6 с; Италия; 4; 4; 5052; 1895; 1438; 3064; 450; 1970; робот; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 275; 5.6; АИ-95; переднее, продольное; 4244; нет; 400 / 294 при 7000; 460 при 4250; V-образное; 8; 4; распределенный впрыск (многоточечный); 11; 92 × 79.8
5; Maserati Levante I S  ; 2017 ; 6 900 000 ; 807 ; 17 апреля;  ; 3.0 л; 430 л.с.; автомат; бензин; АИ-95; полный; 5.2 с; Италия; 5; 5; 5003; 1968; 1679; 3004; 580; 2109; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 264; 5.2; АИ-95; переднее, продольное; 2979; турбонаддув; 430 / 316 при 5750; 580 при 5000; V-образное; 6; 4; непосредственный впрыск (прямой); 9.7; 86.5 × 84.5
6; Maserati Levante I Diesel  ; 2017 ; 7 175 264 ; Нов; 23 апреля;  ; 3.0 л; 275 л.с.; автомат; дизель; ДТ; полный; 6.9 с; Италия; 5; 5; 5003; 1968; 1679; 3004; 580; 2205; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 230; 6.9; ДТ; переднее, продольное; 2987; турбонаддув; 275 / 202 при 4000; 600 при 2000 – 2600; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 16.5; 83 × 92
7; Maserati Levante I  ; 2017 ; 6 618 166 ; Нов; 23 апреля;  ; 3.0 л; 350 л.с.; автомат; бензин; АИ-95; полный; 6 с; Италия; 5; 5; 5003; 1968; 1679; 3004; 580; 2109; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 251; 6; АИ-95; переднее, продольное; 2979; турбонаддув; 350 / 257 при 5750; 500 при 4500; V-образное; 6; 4; непосредственный впрыск (прямой); 9.7; 86.5 × 84.5
8; Maserati GranTurismo Sport  ; 2012 ; 4 700 000 ; 7 600 ; 16 апреля;  ; 4.7 л; 460 л.с.; автомат; бензин; АИ-98; задний; 4.8 с; Италия; 2; 4; 4881; 1847; 1353; 2942; 260; 1980; автомат; 6; задний; независимая, пружинная;; дисковые вентилируемые; дисковые вентилируемые; 298; 4.8; АИ-98; переднее, продольное; 4691; нет; 460 / 338 при 7000; 520 при 4750; V-образное; 8; 4; распределенный впрыск (многоточечный); 11.25; 94 × 84.5
9; Maserati GranTurismo  ; 2008 ; 2 100 000 ; 53 163 ; 16 апреля;  ; 4.2 л; 405 л.с.; автомат; бензин; АИ-98; задний; 5.2 с; Италия; 2; 4; 4881; 1847; 1353; 2942; 260; 1880; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 285; 5.2; АИ-98; переднее, продольное; 4244; нет; 405 / 298 при 7100; 460 при 4750; V-образное; 8; 4; распределенный впрыск (многоточечный); 11; 92 × 79.8
10; Maserati Levante I  ; 2017 ; 6 300 000 ; Нов; 23 апреля;  ; 3.0 л; 350 л.с.; автомат; бензин; АИ-95; полный; 6 с; Италия; 5; 5; 5003; 1968; 1679; 3004; 580; 2109; автомат; 8; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 251; 6; АИ-95; переднее, продольное; 2979; турбонаддув; 350 / 257 при 5750; 500 при 4500; V-образное; 6; 4; непосредственный впрыск (прямой); 9.7; 86.5 × 84.5
11; Maserati GranTurismo  ; 2009 ; 2 900 000 ; 14 505 ; 22 апреля;  ; 4.2 л; 405 л.с.; автомат; бензин; АИ-98; задний; 5.2 с; Италия; 2; 4; 4881; 1847; 1353; 2942; 260; 1880; автомат; 6; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 285; 5.2; АИ-98; переднее, продольное; 4244; нет; 405 / 298 при 7100; 460 при 4750; V-образное; 8; 4; распределенный впрыск (многоточечный); 11; 92 × 79.8
