;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Mercedes-Benz M-klasse II (W164) Рестайлинг 350  ; 2011 ;1 349 000 ; 84 000 ; 28 марта; 4,5; 3.5 л; 272 л.с.; автомат; бензин; АИ-95; полный; 8.4 с; Германия; 5; 5, 7; 4781; 1911; 1815; 2915; 551/2050; 2135; автомат; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 225; 8.4; АИ-95; переднее, продольное; 3498; нет; 272 / 200 при 6000; 350 при 2400 – 5000; V-образное; 6; 4; распределенный впрыск (многоточечный); 10.7; 92.9 × 86
2; Mercedes-Benz C-klasse III (W204) Рестайлинг 200  ; 2011 ;950 000 ; 60 000 ; 6 апреля; 4,5; 1.8 л; 184 л.с.; автомат; бензин; АИ-95; задний; 7.8 с; Германия; 4; 5; 4591; 1770; 1447; 2760; 475; 1505; автомат; 7; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 235; 7.8; АИ-95; переднее, продольное; 1796; турбонаддув; 184 / 135 при 5250; 270 при 1800 – 4600; рядное; 4; 4; непосредственный впрыск (прямой); 9.3; 82 × 85
3; Mercedes-Benz GLE Coupe AMG C292 63  ; 2015 ;5 300 000 ; 20 000 ; 17 апреля;  ; 5.5 л; 558 л.с.; автомат; бензин; АИ-95; полный; 4.3 с; Германия; 5; 5; 4900; 2003; 1700; 2915; 650/1720; 2350; автомат; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 4.3; АИ-95; переднее, продольное; 5461; турбонаддув; 558 / 410 при 5750; 700 при 1750 – 5500; V-образное; 8; 4; непосредственный впрыск (прямой); 10; 98 × 90.5
4; Mercedes-Benz S-klasse IV (W220) Рестайлинг 500 Long  ; 2002 ;380 000 ; 545 000 ; 27 марта; 4,8; 5.0 л; 306 л.с.; автомат; бензин; АИ-95; полный; 6.3 с; Германия; 4; 5; 5164; 1855; 1448; 3085; 500; 1925; автомат; 5; полный; независимая, пневмоэлемент; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 250; 6.3; АИ-95; переднее, продольное; 4966; нет; 306 / 225 при 5600; 460 при 2700 – 4250; V-образное; 8; 3; распределенный впрыск (многоточечный); 10; 97 × 84
5; Mercedes-Benz C-klasse III (W204) Рестайлинг 180  ; 2013 ; 862 000 ; 107 673 ; 24 апреля; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6; Mercedes-Benz C-klasse II (W203) 180  ; 2002 ; 290 000 ; 180 267 ; 28 марта; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7; Mercedes-Benz G-klasse II (W463) 500  ; 2002 ; 1 200 000 ; 296 000 ; 15 марта; 3,8; 5.0 л; 296 л.с.; автомат; бензин; АИ-95; полный; 7.7 с; Германия; 5; 5, 7; 4680; 1760; 1935; 2850; 480/2250; 2400; автомат; 5; полный; зависимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 190; 7.7; АИ-95; переднее, продольное; 4966; нет; 296 / 218 при 5500; 456 при 2800; V-образное; 8; 3; распределенный впрыск (многоточечный); 10; 97 × 84
8; Mercedes-Benz CLS-klasse II (C218) 350 CDI  ; 2011 ;1 500 000 ; 80 000 ; 24 апреля; 4,6; 3.0 л; 265 л.с.; автомат; дизель; ДТ; задний; 6.2 с; Германия; 4; 4; 4940; 1881; 1416; 2874; 520; 1815; автомат; 7; задний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 250; 6.2; ДТ;; 2987; турбонаддув; 265 / 195 при 3800; 620 при 1600; V-образное; 6; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 15.5; 92.9 × 86
9; Mercedes-Benz C-klasse III (W204) Рестайлинг 180  ; 2013 ; 1 510 000 ; 51 823 ; 15 апреля; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
