;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Opel Monterey A  ; 1995 ;250 000 ; 280 000 ; 21 апреля;  ; 3.2 л; 177 л.с.; механика; бензин; АИ-95; полный; 11.5 с; Германия; 5; 5; 4795; 1835; 1840; 2760; 1190/2745; 1880; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые; дисковые вентилируемые; 170; 11.5; АИ-95; переднее, продольное; 3165; нет; 177 / 130 при 5200; 260 при 3750; V-образное; 6; 4; распределенный впрыск (многоточечный); 9.3; 93.4 × 77
2; Opel Astra G  ; 2003 ;180 000 ; 190 000 ; 16 апреля; 4,2; 1.8 л; 125 л.с.; автомат; бензин; АИ-95; передний; 9.5 с; Германия; 3; 5; 4110; 1710; 1425; 2606; 370/1180; 1140; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 205; 9.5; АИ-95; переднее, поперечное; 1796; нет; 125 / 92 при 5600; 170 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 80.5 × 88.2
3; Opel Zafira B Рестайлинг  ; 2013 ;525 000 ; 146 000 ; 11 марта; 4,1; 1.8 л; 140 л.с.; робот; бензин; АИ-95; передний; 12.9 с; Германия; 5; 5, 7; 4467; 1801; 1635; 2703; 540/1820; 1440; робот; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 197; 12.9; АИ-95; переднее, поперечное; 1796; нет; 140 / 103 при 6300; 175 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 80.5 × 88.2
4; Opel Mokka I  ; 2014 ; 685 000 ; 48 000 ; 2 февраля; 4,8; 1.8 л; 140 л.с.; механика; бензин; АИ-95; передний; 10.9 с; Германия; 5; 5; 4278; 1774; 1657; 2555; 356/1372; 1360; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 180; 10.9; АИ-95; переднее, поперечное; 1796; нет; 140 / 103 при 6300; 178 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 80.5 × 88.2
5; Opel Astra H Рестайлинг  ; 2008 ; 335 000 ; 130 000 ; 24 апреля; 4,4; 1.6 л; 115 л.с.; робот; бензин; АИ-95; передний; 12.7 с; Германия; 4; 5; 4587; 1753; 1458; 2703; 490/870; 1306; робот; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 192; 12.7; АИ-95; переднее, поперечное; 1598; нет; 115 / 85 при 6000; 155 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 79 × 81.5
6; Opel Astra H Рестайлинг  ; 2010 ; 360 000 ; 169 000 ; 24 апреля; 4,4; 1.6 л; 115 л.с.; робот; бензин; АИ-95; передний; 12.7 с; Германия; 5; 5; 4249; 1753; 1460; 2614; 380/1295; 1200; робот; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 192; 12.7; АИ-95; переднее, поперечное; 1598; нет; 115 / 85 при 6000; 155 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 79 × 81.5
7; Opel Insignia I  ; 2012 ; 750 000 ; 107 537 ; 14 апреля; 4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8; Opel Astra H Рестайлинг  ; 2012 ; 505 000 ; 118 000 ; 3 декабря 2017; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9; Opel Mokka I  ; 2013 ; 719 000 ; 107 000 ; 9 октября 2017; 4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10; Opel Astra J Рестайлинг  ; 2013 ;650 000 ; 133 371 ; 18 апреля; 4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11; Opel Astra J  ; 2011 ; 495 000 ; 130 000 ; 24 апреля; 4,4; 1.6 л; 115 л.с.; автомат; бензин; АИ-95; передний; 13.3 с; Германия; 5; 5; 4419; 1814; 1510; 2685; 370/1235; 1373; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 182; 13.3; АИ-95; переднее, поперечное; 1598; нет; 115 / 85 при 6000; 155 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 79 × 81.5
12; Opel Astra H Рестайлинг  ; 2012 ; 450 000 ; 92 000 ; 12 октября 2017; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13; Opel Corsa D  ; 2008 ; 325 000 ; 86 200 ; 24 апреля; 4,3; 1.4 л; 90 л.с.; автомат; бензин; АИ-95; передний; 14.8 с; Германия; 5; 5; 3999; 1737; 1488; 2511; 285/1100; 1145; автомат; 4; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 166; 14.8; АИ-95; переднее, поперечное; 1364; нет; 90 / 66 при 5600; 125 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 73.4 × 82.6
14; Opel Astra H Рестайлинг  ; 2010 ;330 000 ; 89 000 ; 17 апреля; 4,4; 1.4 л; 90 л.с.; механика; бензин; АИ-95; передний; 13.7 с; Германия; 5; 5; 4249; 1753; 1460; 2614; 380/1295; 1160; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 178; 13.7; АИ-95; переднее, поперечное; 1364; нет; 90 / 66 при 5600; 125 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 73.4 × 80.6
15; Opel Astra J  ; 2012 ; 555 000 ; 109 580 ; 24 апреля; 4,4; 1.4 л; 140 л.с.; автомат; бензин; АИ-95; передний; 10.2 с; Германия; 5; 5; 4419; 1814; 1510; 2685; 370/1235; 1373; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 200; 10.2; АИ-95; переднее, поперечное; 1364; турбонаддув; 140 / 103 при 4900; 200 при 1850 – 4900; рядное; 4; 4; непосредственный впрыск (прямой); 9.5; 72.5 × 82.6
16; Opel Astra J  ; 2011 ; 555 000 ; 91 000 ; 24 апреля; 4,4; 1.4 л; 140 л.с.; автомат; бензин; АИ-95; передний; 10.2 с; Германия; 5; 5; 4419; 1814; 1510; 2685; 370/1235; 1373; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 200; 10.2; АИ-95; переднее, поперечное; 1364; турбонаддув; 140 / 103 при 4900; 200 при 1850 – 4900; рядное; 4; 4; непосредственный впрыск (прямой); 9.5; 72.5 × 82.6
17; Opel Zafira B  ; 2007 ; 460 000 ; 200 000 ; 10 марта; 4,3; 1.8 л; 140 л.с.; механика; бензин; АИ-95; передний; 11.5 с; Германия; 5; 7; 4467; 1801; 1645; 2703; 540/1820; 1336; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 197; 11.5; АИ-95; переднее, поперечное; 1796; нет; 140 / 103 при 6300; 175 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 80.5 × 88.2
18; Opel Corsa D Рестайлинг I  ; 2010 ; 299 000 ; 250 000 ; 24 апреля; 4,0; 1.0 л; 65 л.с.; механика; бензин; АИ-95; передний; 18.2 с; Германия; 5; 5; 3999; 1737; 1488; 2511; 285/1100; 1145; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 155; 18.2; АИ-95; переднее, поперечное; 998; турбонаддув; 65 / 48 при 5600; 90 при 3800; рядное; 3; 4; распределенный впрыск (многоточечный); 10.5; 73.4 × 78.6
19; Opel Astra J  ; 2010 ; 450 000 ; 170 000 ; 3 марта; 4,4; 1.6 л; 180 л.с.; автомат; бензин; АИ-95; передний; 9 с; Германия; 5; 5; 4419; 1814; 1510; 2685; 370/1235; 1373; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 211; 9; АИ-95; переднее, поперечное; 1598; турбонаддув; 180 / 132 при 5500; 230 при 2200 – 5400; рядное; 4; 4; распределенный впрыск (многоточечный); 8.8; 79 × 81.5
20; Opel Astra J Рестайлинг  ; 2014 ; 490 000 ; 64 200 ; 24 апреля; 4,5; 1.6 л; 115 л.с.; механика; бензин; АИ-95; передний; 11.7 с; Германия; 5; 5; 4419; 1814; 1510; 2685; 370/1235; 1320; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 188; 11.7; АИ-95; переднее, поперечное; 1598; нет; 115 / 85 при 6000; 155 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.8; 79 × 81.5
