;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; PUCH Pinzgauer 712  ; 1985 ; 1 850 000 ; 50 000 ; 11 сентября 2017;  ; 2.5 л; 92 л.с.; механика; бензин; АИ-80; полный;; Германия; 2; 3; 4955; 1760; 2045; 2980; ;; механика; 5; полный; независимая, пневмоэлемент;; барабанные;;;; АИ-80;; 2499; нет; 92 / 68 при 4000; 186 при 2000; рядное; 4;; карбюратор;; 92 × 94
2; PUCH Pinzgauer 712  ; 1981 ; 1 800 000 ; 57 000 ; 24 мая 2017;  ; 2.5 л; 92 л.с.; механика; бензин; АИ-80; полный;; Германия; 2; 3; 4955; 1760; 2045; 2980; ;; механика; 5; полный; независимая, пневмоэлемент;; барабанные;;;; АИ-80;; 2499; нет; 92 / 68 при 4000; 186 при 2000; рядное; 4;; карбюратор;; 92 × 94
3; PUCH Pinzgauer 712  ; 1982 ; 1 297 076 ; 44 400 ; 8 апреля;  ; 2.5 л; 87 л.с.; механика; бензин; АИ-80; полный;; Германия; 2; 3; 4955; 1760; 2045; 2980; ; 2350; механика; 5; полный; независимая, пневмоэлемент;; барабанные; барабанные;;; АИ-80;; 2499; нет; 87 / 64 при 4000; 177 при 2000; рядное; 4;; карбюратор; 7.5; 92 × 94
4; PUCH Pinzgauer 712  ; 1981 ; 2 550 000 ; 93 039 ; 6 марта 2017;  ; 2.5 л; 87 л.с.; механика; бензин; АИ-80; полный;; Германия; 2; 3; 4955; 1760; 2045; 2980; ; 2350; механика; 5; полный; независимая, пневмоэлемент;; барабанные; барабанные;;; АИ-80;; 2499; нет; 87 / 64 при 4000; 177 при 2000; рядное; 4;; карбюратор; 7.5; 92 × 94
5; PUCH Pinzgauer 710  ; 1974 ; 1 500 000 ; 50 866 ; 6 марта 2017;  ; 2.5 л; 92 л.с.; механика; бензин; АИ-80; полный;; Германия; 5; 3; 4175; 1760; 2045; 2200; ; 1950; механика; 5; полный; независимая, пневмоэлемент;; барабанные; барабанные;;; АИ-80;; 2499; нет; 92 / 68 при 4000; 186 при 2000; рядное; 4;; карбюратор;; 92 × 94
6; PUCH Pinzgauer 712  ; 1983 ; 1 500 000 ; 19 000 ; 11 ноября 2016;  ; 2.5 л; 92 л.с.; механика; бензин; АИ-80; полный;; Германия; 2; 3; 4955; 1760; 2045; 2980; ;; механика; 5; полный; независимая, пневмоэлемент;; барабанные;;;; АИ-80;; 2499; нет; 92 / 68 при 4000; 186 при 2000; рядное; 4;; карбюратор;; 92 × 94
7; PUCH Pinzgauer 712  ; 1981 ; 1 950 000 ; 17 000 ; 27 сентября 2016;  ; 2.5 л; 92 л.с.; механика; бензин; АИ-80; полный;; Германия; 2; 3; 4955; 1760; 2045; 2980; ;; механика; 5; полный; независимая, пневмоэлемент;; барабанные;;;; АИ-80;; 2499; нет; 92 / 68 при 4000; 186 при 2000; рядное; 4;; карбюратор;; 92 × 94
8; PUCH Pinzgauer 710  ; 1981 ; 1 200 000 ; 68 310 ; 27 сентября 2016;  ; 2.5 л; 87 л.с.; механика; бензин; АИ-80; полный;; Германия; 5; 3; 4175; 1760; 2045; 2200; ; 1950; механика; 5; полный; независимая, пневмоэлемент;; барабанные; барабанные;;; АИ-80;; 2499; нет; 87 / 64 при 4000; 177 при 2000; рядное; 4;; карбюратор; 7.5; 92 × 94
9; PUCH Pinzgauer 712  ; 1981 ; 2 450 000 ; 18 900 ; 27 сентября 2016;  ; 2.5 л; 92 л.с.; механика; бензин; АИ-80; полный;; Германия; 2; 3; 4955; 1760; 2045; 2980; ;; механика; 5; полный; независимая, пневмоэлемент;; барабанные;;;; АИ-80;; 2499; нет; 92 / 68 при 4000; 186 при 2000; рядное; 4;; карбюратор;; 92 × 94
10; PUCH Pinzgauer 712  ; 1981 ; 2 300 000 ; 41 000 ; 22 сентября 2016;  ; 2.5 л; 87 л.с.; механика; бензин; АИ-80; полный;; Германия; 2; 3; 4955; 1760; 2045; 2980; ; 2350; механика; 5; полный; независимая, пневмоэлемент;; барабанные; барабанные;;; АИ-80;; 2499; нет; 87 / 64 при 4000; 177 при 2000; рядное; 4;; карбюратор; 7.5; 92 × 94
11; PUCH Pinzgauer 712  ; 1975 ; 1 250 000 ; 80 000 ; 20 февраля;  ; 2.5 л; 92 л.с.; механика; бензин; АИ-80; полный;; Германия; 2; 3; 4955; 1760; 2045; 2980; ;; механика; 5; полный; независимая, пневмоэлемент;; барабанные;;;; АИ-80;; 2499; нет; 92 / 68 при 4000; 186 при 2000; рядное; 4;; карбюратор;; 92 × 94
