;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Renault Laguna I  ; 2000 ;105 000 ; 340 000 ; 16 апреля; 3,9; 1.6 л; 107 л.с.; механика; бензин; АИ-95; передний; 11.5 с; Франция; 5; 5; 4620; 1748; 1448; 2670; 520/1782; 1345; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 195; 11.5; АИ-95; переднее, поперечное; 1598; нет; 107 / 79 при 5750; 148 при 3750; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 79.5 × 80.5
2; Renault Fluence I  ; 2011 ;355 000 ; 95 000 ; 8 апреля; 4,4; 1.6 л; 110 л.с.; механика; бензин; АИ-95; передний; 11.9 с; Франция; 4; 5; 4618; 1809; 1479; 2702; 530; 1225; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 183; 11.9; АИ-95; переднее, поперечное; 1598; нет; 110 / 81 при 6000; 145 при 4250; рядное; 4; 4; распределенный впрыск (многоточечный); 9.7; 79.5 × 80.5
3; Renault Duster I Рестайлинг  ; 2018 ; 971 980 ; Нов; 20 апреля; 3,8; 1.6 л; 114 л.с.; механика; бензин; АИ-95; полный; 12.5 с; Франция; 5; 5; 4315; 1822; 1695; 2673; 408/1636; 1360; механика; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 166; 12.5; АИ-95; переднее, поперечное; 1598; нет; 114 / 84 при 5500; 156 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.7; 78 × 83.6
4; Renault Duster I Рестайлинг  ; 2017 ; 900 000 ; 24 838 ; 25 марта; 3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5; Renault Sandero II Stepway  ; 2015 ; 600 000 ; 37 000 ; 24 апреля; 3,7; 1.6 л; 82 л.с.; механика; бензин; АИ-95; передний; 12.3 с; Франция; 5; 5; 4080; 1757; 1618; 2589; 320; 1111; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 165; 12.3; АИ-95; переднее, поперечное; 1598; нет; 82 / 60 при 5000; 134 при 2800; рядное; 4; 2; распределенный впрыск (многоточечный); 9.5; 79.5 × 80.5
6; Renault Scenic III  ; 2010 ; 450 000 ; 140 000 ; 24 апреля; 4,4; 1.5 л; 110 л.с.; механика; дизель; ДТ; передний; 12.3 с; Франция; 5; 5; 4344; 1845; 1637; 2702; 437/522; 1429; механика; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 180; 12.3; ДТ; переднее, поперечное; 1461; турбонаддув; 110 / 81 при 4000; 240 при 2000; рядное; 4; 2; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 15.2; 76 × 80.5
7; Renault Koleos I  ; 2010 ; 490 000 ; 146 000 ; 24 апреля; 4,6; 2.5 л; 171 л.с.; вариатор; бензин; АИ-95; полный; 9.9 с; Франция; 5; 5; 4520; 1855; 1695; 2690; 450/1380; 1655; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 188; 9.9; АИ-95; переднее, поперечное; 2488; нет; 171 / 126 при 6500; 226 при 4400; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 89 × 100
8; Renault Sandero I  ; 2011 ; 260 000 ; 104 000 ; 24 апреля; 4,0; 1.6 л; 84 л.с.; механика; бензин; АИ-95; передний; 11.5 с; Франция; 5; 5; 4020; 1746; 1534; 2588; 320/1200; 1048; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 175; 11.5; АИ-95; переднее, поперечное; 1598; нет; 84 / 62 при 5500; 124 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.5; 79.5 × 80.5
9; Renault Fluence I Рестайлинг  ; 2015 ; 705 000 ; 29 000 ; 24 апреля; 4,0; 2.0 л; 138 л.с.; вариатор; бензин; АИ-95; передний; 10.1 с; Франция; 4; 5; 4622; 1809; 1479; 2703; 530; 1323; вариатор;; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 195; 10.1; АИ-95; переднее, поперечное; 1997; нет; 138 / 101 при 6000; 190 при 3700; рядное; 4; 4; распределенный впрыск (многоточечный); 10.2; 84 × 90.1
10; Renault Logan I  ; 2007 ; 270 000 ; 192 000 ; 24 апреля; 3,7; 1.6 л; 87 л.с.; механика; бензин; АИ-95; передний; 11.5 с; Франция; 4; 5; 4250; 1735; 1525; 2630; 510; 980; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 175; 11.5; АИ-95; переднее, поперечное; 1598; нет; 87 / 64 при 5500; 128 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.5; 79.5 × 80.5
11; Renault Scenic I Рестайлинг  ; 2000 ; 155 000 ; 301 000 ; 23 апреля; 4,2; 1.6 л; 107 л.с.; механика; бензин; АИ-95; передний; 11.2 с; Франция; 5; 5; 4168; 1719; 1609; 2580; 410/1800; 1250; механика; 5; передний; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; дисковые; 185; 11.2; АИ-95; переднее, поперечное; 1598; нет; 107 / 79 при 5750; 148 при 3750; рядное; 4; 4; распределенный впрыск (многоточечный);; 
12; Renault Scenic II  ; 2004 ; 250 000 ; 240 000 ; 24 апреля; 4,2; 1.6 л; 115 л.с.; автомат; бензин; АИ-95; передний; 14.3 с; Франция; 5; 5; 4259; 1810; 1620; 2685; 430/1480; 1320; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 175; 14.3; АИ-95; переднее, поперечное; 1598; нет; 115 / 84 при 6000; 152 при 4200; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 79.5 × 80.5
13; Renault Fluence I Рестайлинг  ; 2013 ; 400 000 ; 194 540 ; 15 марта; 4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14; Renault Logan II  ; 2014 ; 470 000 ; 61 400 ; 23 апреля; 3,9; 1.6 л; 102 л.с.; механика; бензин; АИ-95; передний; 10.5 с; Франция; 4; 5; 4346; 1733; 1517; 2634; 510; 1127; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 180; 10.5; АИ-95; переднее, поперечное; 1598; нет; 102 / 75 при 5750; 145 при 3750; рядное; 4; 4; распределенный впрыск (многоточечный); 9.8; 79.5 × 80.5
15; Renault Sandero I  ; 2011 ; 290 000 ; 175 000 ; 29 марта; 4,0; 1.4 л; 75 л.с.; механика; бензин; АИ-95; передний; 13 с; Франция; 5; 5; 4020; 1746; 1534; 2588; 320/1200; 975; механика; 5; передний; независимая, пружинная; полунезависимая, пружинная; дисковые; барабанные; 162; 13; АИ-95; переднее, поперечное; 1390; нет; 75 / 55 при 5500; 112 при 3000; рядное; 4; 2; распределенный впрыск (многоточечный); 9.5; 79.5 × 70
