;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Saturn VUE I  ; 2002 ; 344 000 ; 179 000 ; 10 апреля; 4,1; 2.2 л; 145 л.с.; вариатор; бензин; АИ-92; передний; 10.2 с; США; 5; 5; 4605; 1817; 1689; 2707; 860;; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 160; 10.2; АИ-92; переднее, поперечное; 2198; нет; 145 / 107 при 5600; 206 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 86 × 94.6
2; Saturn VUE I  ; 2002 ; 269 000 ; 202 000 ; 18 марта; 4,1; 2.2 л; 145 л.с.; вариатор; бензин; АИ-92; передний; 10.2 с; США; 5; 5; 4605; 1817; 1689; 2707; 860;; вариатор;; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 160; 10.2; АИ-92; переднее, поперечное; 2198; нет; 145 / 107 при 5600; 206 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 86 × 94.6
3; Saturn VUE I  ; 2003 ; 350 000 ; 120 000 ; 30 марта; 4,1; 3.0 л; 184 л.с.; автомат; бензин; АИ-92; полный; 8.4 с; США; 5; 5; 4605; 1817; 1689; 2707; 860; 1689; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 160; 8.4; АИ-92; переднее, поперечное; 2962; нет; 184 / 135 при 6000; 264 при 4000; V-образное; 6; 4; распределенный впрыск (многоточечный); 10; 86 × 85
4; Saturn VUE I  ; 2002 ; 250 000 ; 160 000 ; 14 апреля; 4,1; 2.2 л; 145 л.с.; вариатор; бензин; АИ-92; полный; 11.1 с; США; 5; 5; 4605; 1817; 1689; 2707; 860; 1560; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 160; 11.1; АИ-92; переднее, поперечное; 2198; нет; 145 / 107 при 5600; 206 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 86 × 94.6
5; Saturn VUE II  ; 2007 ; 530 000 ; 95 000 ; 11 марта;  ; 2.4 л; 168 л.с.; автомат; бензин; АИ-92; передний;; США; 5; 5; 4574; 1849; 1701; 2707; ;; автомат; 4; передний; независимая, пружинная;; дисковые вентилируемые; дисковые;;; АИ-92; переднее, поперечное; 2384; нет; 168 / 124 при 6200; 220 при 5000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 88 × 98
6; Saturn VUE I  ; 2003 ; 350 000 ; 134 000 ; 18 января; 4,1; 2.2 л; 145 л.с.; вариатор; бензин; АИ-92; полный; 11.1 с; США; 5; 5; 4605; 1817; 1689; 2707; 860; 1560; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 160; 11.1; АИ-92; переднее, поперечное; 2198; нет; 145 / 107 при 5600; 206 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 86 × 94.6
7; Saturn VUE I  ; 2004 ; 260 000 ; 148 000 ; 18 декабря 2017; 4,1; 2.2 л; 145 л.с.; механика; бензин; АИ-92; передний; 11 с; США; 5; 5; 4605; 1817; 1689; 2707; 860; 1502; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 160; 11; АИ-92; переднее, поперечное; 2198; нет; 145 / 107 при 5600; 206 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 86 × 94.6
8; Saturn VUE I  ; 2004 ; 290 000 ; 150 000 ; 3 августа 2017; 4,1; 2.2 л; 145 л.с.; механика; бензин; АИ-92; передний; 11 с; США; 5; 5; 4605; 1817; 1689; 2707; 860; 1502; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 160; 11; АИ-92; переднее, поперечное; 2198; нет; 145 / 107 при 5600; 206 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 86 × 94.6
9; Saturn VUE II  ; 2008 ; 535 000 ; 170 000 ; 13 апреля;  ; 2.4 л; 168 л.с.; автомат; бензин; АИ-92; передний;; США; 5; 5; 4574; 1849; 1701; 2707; ;; автомат; 4; передний; независимая, пружинная;; дисковые вентилируемые; дисковые;;; АИ-92; переднее, поперечное; 2384; нет; 168 / 124 при 6200; 220 при 5000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 88 × 98
10; Saturn SL II SL2  ; 2001 ; 200 000 ; 179 000 ; 1 апреля; 5,0; 1.9 л; 126 л.с.; автомат; бензин; АИ-80; передний; 9.6 с; США; 4; 5; 4524; 1687; 1397; 2601; 343;; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные;; 9.6; АИ-80; переднее, поперечное; 1901; нет; 126 / 93 при 5600; 165 при 4800; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 82 × 90
11; Saturn VUE I  ; 2002 ; 260 000 ; 160 000 ; 26 марта; 4,1; 2.2 л; 145 л.с.; механика; бензин; АИ-92; передний; 11 с; США; 5; 5; 4605; 1817; 1689; 2707; 860; 1502; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 160; 11; АИ-92; переднее, поперечное; 2198; нет; 145 / 107 при 5600; 206 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 86 × 94.6
12; Saturn VUE I  ; 2003 ; 515 000 ; 104 513 ; 1 марта; 4,1; 2.2 л; 145 л.с.; механика; бензин; АИ-92; полный;; США; 5; 5; 4605; 1817; 1689; 2707; 860;; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные;;; АИ-92; переднее, поперечное; 2198; нет; 145 / 107 при 5600; 206 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 86 × 94.6
13; Saturn VUE II  ; 2009 ; 500 000 ; 90 000 ; 1 марта;  ; 2.4 л; 168 л.с.; автомат; бензин; АИ-92; передний;; США; 5; 5; 4574; 1849; 1701; 2707; ;; автомат; 4; передний; независимая, пружинная;; дисковые вентилируемые; дисковые;;; АИ-92; переднее, поперечное; 2384; нет; 168 / 124 при 6200; 220 при 5000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 88 × 98
14; Saturn VUE I  ; 2003 ; 350 000 ; 179 000 ; 28 января; 4,1; 2.2 л; 145 л.с.; механика; бензин; АИ-92; передний; 11 с; США; 5; 5; 4605; 1817; 1689; 2707; 860; 1502; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 160; 11; АИ-92; переднее, поперечное; 2198; нет; 145 / 107 при 5600; 206 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 86 × 94.6
15; Saturn VUE I  ; 2002 ; 499 000 ; 217 000 ; 30 июня 2017; 4,1; 2.2 л; 145 л.с.; вариатор; бензин; АИ-92; полный; 11.1 с; США; 5; 5; 4605; 1817; 1689; 2707; 860; 1560; вариатор;; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 160; 11.1; АИ-92; переднее, поперечное; 2198; нет; 145 / 107 при 5600; 206 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 86 × 94.6
16; Saturn LS  ; 2000 ; 290 000 ; 348 000 ; 10 августа 2017;  ; 2.2 л; 139 л.с.; автомат; бензин; АИ-95; передний; 9.8 с; США; 4; 5; 4835; 1755; 1430; 2705; 495; 1335; автомат; 4; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 170; 9.8; АИ-95; переднее, поперечное; 2198; нет; 139 / 102 при 5200; 193 при 4400; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 86 × 94.6
17; Saturn VUE I  ; 2004 ; 300 000 ; 184 000 ; 5 апреля; 4,1; 2.2 л; 145 л.с.; механика; бензин; АИ-92; передний; 11 с; США; 5; 5; 4605; 1817; 1689; 2707; 860; 1502; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 160; 11; АИ-92; переднее, поперечное; 2198; нет; 145 / 107 при 5600; 206 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 86 × 94.6
