;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Suzuki Grand Vitara II Рестайлинг  ; 2003 ;275 000 ; 257 000 ; 21 апреля; 4,0; 2.0 л; 128 л.с.; механика; бензин; АИ-95; полный; 11.8 с; Япония; 5; 5; 4215; 1780; 1740; 2480; 275/605; 1355; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; барабанные; 160; 11.8; АИ-95; переднее, продольное; 1995; нет; 128 / 94 при 5900; 174 при 4300; рядное; 4; 4; распределенный впрыск (многоточечный); 9.3; 84 × 90
2; Suzuki SX4 I (Classic)  ; 2008 ;385 000 ; 47 000 ; 10 апреля; 4,2; 1.6 л; 106 л.с.; механика; бензин; АИ-95; передний; 10.8 с; Япония; 5; 5; 4100; 1730; 1565; 2500; 270/1045; 1205; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; барабанные; 180; 10.8; АИ-95; переднее, поперечное; 1586; нет; 106 / 78 при 5900; 145 при 4100; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 78 × 83
3; Suzuki Grand Vitara II Рестайлинг  ; 2002 ;350 000 ; 128 636 ; 19 апреля; 4,0; 1.6 л; 94 л.с.; механика; бензин; АИ-95; полный; 12.6 с; Япония; 3; 4; 3905; 1780; 1740; 2200; 210/828; 1235; механика; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; барабанные; 150; 12.6; АИ-95; переднее, продольное; 1590; нет; 94 / 69 при 5200; 138 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 75 × 90
4; Suzuki Jimny III Рестайлинг 1  ; 2010 ; 500 000 ; 102 000 ; 24 апреля; 4,0; 1.3 л; 85 л.с.; механика; бензин; АИ-95; задний; 14.1 с; Япония; 3; 4; 3645; 1600; 1705; 2250; 113/816; 1005; механика; 5; задний; зависимая, пружинная; зависимая, пружинная; дисковые; барабанные; 140; 14.1; АИ-95; переднее, поперечное; 1328; нет; 85 / 63 при 6000; 110 при 4100; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 78 × 69.5
5; Suzuki Jimny III Рестайлинг 1  ; 2008 ; 700 000 ; 15 000 ; 24 апреля; 4,0; 1.3 л; 85 л.с.; автомат; бензин; АИ-95; полный; 17.2 с; Япония; 3; 4; 3645; 1600; 1705; 2250; 113/816; 1075; автомат; 4; полный; зависимая, пружинная; зависимая, пружинная; дисковые; барабанные; 135; 17.2; АИ-95; переднее, продольное; 1328; нет; 85 / 63 при 6000; 110 при 4100; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 78 × 69.5
6; Suzuki SX4 I (Classic) Рестайлинг  ; 2009 ; 430 000 ; 110 000 ; 15 марта; 4,3; 1.6 л; 112 л.с.; автомат; бензин; АИ-95; передний; 12.3 с; Япония; 5; 5; 4150; 1755; 1605; 2500; 270/625; 1155; автомат; 4; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 175; 12.3; АИ-95; переднее, поперечное; 1586; нет; 112 / 82 при 5600; 150 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83
7; Suzuki Grand Vitara III  ; 2007 ; 535 000 ; 99 826 ; 24 апреля; 4,3; 2.0 л; 140 л.с.; автомат; бензин; АИ-95; полный; 12.5 с; Япония; 5; 5; 4470; 1810; 1695; 2640; 399/1300; 1580; автомат; 4; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; барабанные; 175; 12.5; АИ-95; переднее, продольное; 1995; нет; 140 / 103 при 6000; 183 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 84 × 90
8; Suzuki SX4 I (Classic) Рестайлинг  ; 2011 ; 592 000 ; 13 864 ; 23 апреля; 4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9; Suzuki SX4 I (Classic) Рестайлинг  ; 2010 ;450 000 ; 85 500 ; 23 декабря 2017; 4,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10; Suzuki SX4 I (Classic) Рестайлинг  ; 2012 ; 482 000 ; 58 308 ; 23 апреля; 4,3; 1.6 л; 112 л.с.; механика; бензин; АИ-95; передний; 10.7 с; Япония; 5; 5; 4150; 1755; 1605; 2500; 270/625; 1140; механика; 5; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 185; 10.7; АИ-95; переднее, поперечное; 1586; нет; 112 / 82 при 5600; 150 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83
11; Suzuki Grand Vitara III Рестайлинг 2  ; 2012 ; 860 000 ; 52 414 ; 23 апреля;  ; 2.0 л; 140 л.с.; автомат; бензин; АИ-95; полный; 13.6 с; Япония; 5; 5; 4500; 1810; 1695; 2640; 398/1386; 1548; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 170; 13.6; АИ-95; переднее, продольное; 1995; нет; 140 / 103 при 6000; 183 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 84 × 90
12; Suzuki SX4 II (S-Cross)  ; 2014 ; 740 000 ; 38 421 ; 23 апреля; 4,5; 1.6 л; 117 л.с.; вариатор; бензин; АИ-95; передний; 12.4 с; Япония; 5; 5; 4300; 1765; 1590; 2600; 430/1269; 1125; вариатор;; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 170; 12.4; АИ-95; переднее, поперечное; 1586; нет; 117 / 86 при 6000; 156 при 4400; рядное; 4; 4; распределенный впрыск (многоточечный); 11; 78 × 83
13; Suzuki Grand Vitara III  ; 2007 ; 595 000 ; 141 000 ; 23 апреля; 4,3; 2.0 л; 140 л.с.; автомат; бензин; АИ-95; полный; 12.5 с; Япония; 5; 5; 4470; 1810; 1695; 2640; 399/1300; 1580; автомат; 4; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; барабанные; 175; 12.5; АИ-95; переднее, продольное; 1995; нет; 140 / 103 при 6000; 183 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 84 × 90
14; Suzuki Jimny III Рестайлинг 2  ; 2014 ; 789 000 ; 53 996 ; 23 апреля;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15; Suzuki Grand Vitara III  ; 2006 ; 599 000 ; 198 555 ; 23 апреля; 4,3; 2.0 л; 140 л.с.; автомат; бензин; АИ-95; полный; 12.5 с; Япония; 5; 5; 4470; 1810; 1695; 2640; 399/1300; 1580; автомат; 4; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; барабанные; 175; 12.5; АИ-95; переднее, продольное; 1995; нет; 140 / 103 при 6000; 183 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 84 × 90
16; Suzuki Vitara I  ; 1996 ; 250 000 ; 150 000 ; 24 апреля; 4,3; 2.0 л; 132 л.с.; механика; бензин; АИ-92; полный;; Япония; 5; 5; 4030; 1635; 1700; 2480; ; 1405; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые; барабанные; 150;; АИ-92; переднее, продольное; 1995; нет; 132 / 97 при 6100; 166 при 3000; рядное; 4; 4; распределенный впрыск (многоточечный); 9.7; 84 × 90
17; Suzuki Grand Vitara III Рестайлинг  ; 2008 ; 530 000 ; 126 984 ; 23 апреля; 4,3; 2.0 л; 140 л.с.; автомат; бензин; АИ-95; полный; 13.6 с; Япония; 5; 5; 4500; 1810; 1695; 2640; 398/1386; 1548; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 170; 13.6; АИ-95; переднее, продольное; 1995; нет; 140 / 103 при 6000; 183 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 84 × 90
18; Suzuki Grand Vitara III Рестайлинг 2  ; 2014 ; 921 000 ; 65 000 ; 23 апреля;  ; 2.0 л; 140 л.с.; автомат; бензин; АИ-95; полный; 13.6 с; Япония; 5; 5; 4500; 1810; 1695; 2640; 398/1386; 1548; автомат; 4; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 170; 13.6; АИ-95; переднее, продольное; 1995; нет; 140 / 103 при 6000; 183 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 84 × 90
19; Suzuki Grand Vitara III  ; 2007 ; 409 000 ; 153 000 ; 23 апреля; 4,3; 1.6 л; 106 л.с.; механика; бензин; АИ-95; полный; 14.4 с; Япония; 3; 4; 4005; 1810; 1695; 2440; 137/1050; 1445; механика; 5; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые;; 160; 14.4; АИ-95; переднее, продольное; 1586; нет; 106 / 78 при 5900; 145 при 4100; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 75 × 90
20; Suzuki Jimny III Рестайлинг 1  ; 2011 ; 600 000 ; 34 000 ; 23 апреля; 4,0; 1.3 л; 85 л.с.; механика; бензин; АИ-95; полный; 14.1 с; Япония; 3; 4; 3645; 1600; 1705; 2250; 113/816; 1060; механика; 5; полный; зависимая, пружинная; зависимая, пружинная; дисковые; барабанные; 140; 14.1; АИ-95; переднее, продольное; 1328; нет; 85 / 63 при 6000; 110 при 4100; рядное; 4; 4; распределенный впрыск (многоточечный); 9.5; 78 × 69.5
21; Suzuki Grand Vitara III  ; 2007 ; 540 000 ; 145 000 ; 2 декабря 2017; 4,3; 2.0 л; 140 л.с.; автомат; бензин; АИ-95; полный; 12.5 с; Япония; 5; 5; 4470; 1810; 1695; 2640; 399/1300; 1580; автомат; 4; полный; независимая, пружинная; зависимая, пружинная; дисковые вентилируемые; барабанные; 175; 12.5; АИ-95; переднее, продольное; 1995; нет; 140 / 103 при 6000; 183 при 4000; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 84 × 90
22; Suzuki SX4 I (Classic) Рестайлинг  ; 2012 ; 549 000 ; 54 532 ; 23 апреля; 4,3; 1.6 л; 112 л.с.; автомат; бензин; АИ-95; передний; 12.3 с; Япония; 5; 5; 4150; 1755; 1605; 2500; 270/625; 1155; автомат; 4; передний; независимая, пружинная; полунезависимая, торсионная; дисковые вентилируемые; дисковые; 175; 12.3; АИ-95; переднее, поперечное; 1586; нет; 112 / 82 при 5600; 150 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10; 78 × 83
23; Suzuki Swift IV Рестайлинг  ; 2013 ; 475 000 ; 137 096 ; 23 апреля; 4,2; 1.2 л; 94 л.с.; автомат; бензин; АИ-95; передний; 13.5 с; Япония; 5; 5; 3850; 1695; 1510; 2430; 211/874; 990; автомат; 4; передний; независимая, пружинная; независимая, торсионная; дисковые вентилируемые; барабанные; 160; 13.5; АИ-95; переднее, поперечное; 1242; нет; 94 / 69 при 6000; 118 при 4800; рядное; 4; 4; распределенный впрыск (многоточечный); 11; 73 × 74.2
