;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Volkswagen Touareg I  ; 2005 ;650 000 ; 243 000 ; 10 апреля; 4,5; 3.2 л; 241 л.с.; автомат; бензин; АИ-95; полный; 9.8 с; Германия; 5; 5; 4754; 1928; 1726; 2855; 555/1570; 2164; автомат; 6; полный; независимая, пружинная; независимая, пневмоэлемент; дисковые вентилируемые; дисковые вентилируемые; 202; 9.8; АИ-95;; 3189; нет; 241 / 177 при 6200; 310 при 3200; V-образное; 6; 4; распределенный впрыск (многоточечный); 11.3; 84 × 95.9
2; Volkswagen Passat B6  ; 2010 ;515 000 ; 107 500 ; 20 апреля; 4,4; 1.4 л; 122 л.с.; робот; бензин; АИ-95; передний; 10.8 с; Германия; 5; 5; 4774; 1820; 1517; 2709; 603/1731; 1429; робот; 7; передний; независимая, пружинная; независимая, пружинная; дисковые; дисковые; 198; 10.8; АИ-95; переднее, поперечное; 1390; турбонаддув; 122 / 90 при 5000; 210 при 1500 – 4000; рядное; 4; 4; непосредственный впрыск (прямой); 10; 76 × 75.6
3; Volkswagen Tiguan II  ; 2017 ; 1 949 000 ; 9 800 ; 19 марта; 4,0; 2.0 л; 180 л.с.; робот; бензин; АИ-95; полный; 7.7 с; Германия; 5; 5; 4486; 1839; 1673; 2677; 615/1655; 1636; робот; 7; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 208; 7.7; АИ-95; переднее, поперечное; 1984; турбонаддув; 180 / 132 при 3940 – 6000; 320 при 1500 – 3940; рядное; 4; 4; непосредственный впрыск (прямой); 9.6; 82.5 × 92.6
4; Volkswagen Polo V Рестайлинг  ; 2016 ; 723 000 ; 32 081 ; 24 апреля; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5; Volkswagen Jetta VI  ; 2014 ; 673 400 ; 40 269 ; 24 апреля; 4,6; 1.6 л; 105 л.с.; автомат; бензин; АИ-95; передний; 12.5 с; Германия; 4; 5; 4644; 1778; 1482; 2651; 510; 1310; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; дисковые; 177; 12.5; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 5250; 153 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 76.5 × 86.9
6; Volkswagen Jetta VI  ; 2013 ; 579 000 ; 107 960 ; 24 апреля; 4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7; Volkswagen Passat B6  ; 2009 ;495 000 ; 118 480 ; 13 апреля; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8; Volkswagen Polo V  ; 2011 ; 470 000 ; 25 000 ; 24 апреля; 4,0; 1.6 л; 105 л.с.; автомат; бензин; АИ-95; передний; 12.1 с; Германия; 4; 5; 4384; 1699; 1465; 2552; 460; 1217; автомат; 6; передний; независимая, пружинная; полунезависимая, пружинная; дисковые вентилируемые; барабанные; 187; 12.1; АИ-95; переднее, поперечное; 1598; нет; 105 / 77 при 5250; 153 при 3800; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 76.5 × 86.9
9; Volkswagen Passat CC I Рестайлинг  ; 2012 ; 750 000 ; 93 457 ; 4 марта; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10; Volkswagen Passat B7  ; 2012 ; 620 000 ; 159 000 ; 28 ноября 2017; 4,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11; Volkswagen Tiguan I Рестайлинг  ; 2012 ; 875 000 ; 56 460 ; 12 февраля; 4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12; Volkswagen Polo V  ; 2014 ; 490 000 ; 39 874 ; 5 апреля; 4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
