;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Volvo XC70 II  ; 2007 ;620 000 ; 198 000 ; 23 декабря 2017; 4,6; 3.2 л; 238 л.с.; автомат; бензин; АИ-95; полный; 8.8 с; Швеция; 5; 5; 4838; 1870; 1604; 2815; 575/1600; 1880; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 215; 8.8; АИ-95; переднее, поперечное; 3192; нет; 238 / 175 при 6200; 320 при 3200; рядное; 6; 4; распределенный впрыск (многоточечный); 10.8; 84 × 96
2; Volvo XC60 I  ; 2008 ;840 000 ; 150 000 ; 20 апреля; 4,6; 2.4 л; 185 л.с.; автомат; дизель; ДТ; полный; 9.9 с; Швеция; 5; 5; 4627; 1891; 1713; 2774; 490/1450; 1880; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 200; 9.9; ДТ; переднее, поперечное; 2400; турбонаддув; 185 / 136 при 4000; 400 при 2000 – 2750; рядное; 5; 4; непосредственный впрыск (прямой); 17.3; 81 × 93.15
3; Volvo XC90 I Рестайлинг  ; 2008 ;730 000 ; 179 500 ; 23 апреля; 4,5; 2.5 л; 210 л.с.; автомат; бензин; АИ-95; полный; 9.9 с; Швеция; 5; 5, 7; 4807; 1936; 1784; 2857; 1178; 2043; автомат; 5; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 210; 9.9; АИ-95; переднее, поперечное; 2521; турбонаддув; 210 / 154 при 5000; 320 при 1500 – 4500; рядное; 5; 4; распределенный впрыск (многоточечный); 9; 83 × 92.3
4; Volvo S80 II Рестайлинг  ; 2010 ; 635 000 ; 106 000 ; 24 апреля; 4,6; 2.5 л; 231 л.с.; автомат; бензин; АИ-95; передний; 7.5 с; Швеция; 4; 5; 4851; 1861; 1493; 2835; 480; 1630; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 235; 7.5; АИ-95; переднее, поперечное; 2521; турбонаддув; 231 / 170 при 4800; 340 при 1700 – 4800; рядное; 5; 4; непосредственный впрыск (прямой); 9; 83 × 93.2
5; Volvo S60 I Рестайлинг  ; 2007 ; 555 000 ; 283 000 ; 13 декабря 2017; 4,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6; Volvo S80 II Рестайлинг  ; 2011 ; 750 000 ; 62 000 ; 24 апреля; 4,6; 3.2 л; 243 л.с.; автомат; бензин; АИ-95; полный; 8.2 с; Швеция; 4; 5; 4851; 1861; 1493; 2835; 480; 1710; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 235; 8.2; АИ-95; переднее, поперечное; 3192; нет; 243 / 179 при 6400; 320 при 3200; рядное; 6; 4; непосредственный впрыск (прямой); 10.8; 84 × 96
7; Volvo XC70 II Рестайлинг  ; 2014 ; 1 790 000 ; 52 934 ; 20 марта; 4,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8; Volvo XC90 I Рестайлинг  ; 2007 ; 770 000 ; 245 000 ; 29 марта; 4,5; 2.4 л; 185 л.с.; автомат; дизель; ДТ; полный; 11.5 с; Швеция; 5; 5, 7; 4807; 1936; 1784; 2857; 1178; 2080; автомат; 6; полный; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые вентилируемые; 190; 11.5; ДТ; переднее, поперечное; 2400; турбонаддув; 185 / 136 при 4000; 400 при 2000; рядное; 5; 4; двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива); 17.3; 81 × 93.2
9; Volvo S80 II Рестайлинг 2  ; 2013 ; 1 119 000 ; 63 000 ; 30 марта; 4,4; 2.5 л; 249 л.с.; автомат; бензин; АИ-95; передний; 7 с; Швеция; 4; 5; 4854; 1861; 1493; 2835; 480/1094; 1640; автомат; 6; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 240; 7; АИ-95; переднее, поперечное; 2497; турбонаддув; 249 / 183 при 5400; 360 при 1800 – 4200; рядное; 5; 4; непосредственный впрыск (прямой); 9.5; 83 × 92.3
