;Модель;Год;Цена;Пробег;Дата;Рейтинг;Объем;Мощность;Коробка;Тип двигателя;Топливо;Привод;Разгон;Страна марки;Количество дверей;Количество мест;Длина;Ширина;Высота;Колёсная база;Объем багажника мин/макс, л;Снаряженная масса, кг;Коробка передач;Количество передач;Тип привода;Тип передней подвески;Тип задней подвески;Передние тормоза;Задние тормоза;Максимальная скорость, км/ч;Разгон до 100 км/ч, с;Марка топлива;Расположение двигателя;Объем двигателя, см³;Тип наддува;Максимальная мощность, л.с./кВт при об/мин;Максимальный крутящий момент, Н*м при об/мин;Расположение цилиндров;Количество цилиндров;Число клапанов на цилиндр;Система питания двигателя;Степень сжатия;Диаметр цилиндра и ход поршня, мм
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1; Vortex Tingo I  ; 2011 ; 335 000 ; 53 000 ; 22 апреля; 3,5; 1.9 л; 132 л.с.; механика; бензин; АИ-95; передний; 12.5 с; Россия; 5; 5; 4285; 1765; 1715; 2510; ; 1465; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 175; 12.5; АИ-95; переднее, поперечное; 1845; нет; 132 / 93 при 5750; 170 при 4300 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 89.5
2; Vortex Estina I  ; 2012 ; 250 000 ; 35 400 ; 15 апреля; 4,0; 1.6 л; 119 л.с.; механика; бензин; АИ-95; передний; 11.2 с; Россия; 4; 5; 4552; 1750; 1483; 2600; 500; 1365; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 185; 11.2; АИ-95; переднее, поперечное; 1597; нет; 119 / 88 при 6150; 147 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 77.1
3; Vortex Tingo I  ; 2011 ;320 000 ; 56 000 ; 22 апреля; 3,5; 1.9 л; 132 л.с.; механика; бензин; АИ-95; передний; 12.5 с; Россия; 5; 5; 4285; 1765; 1715; 2510; ; 1465; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 175; 12.5; АИ-95; переднее, поперечное; 1845; нет; 132 / 93 при 5750; 170 при 4300 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 89.5
4; Vortex Tingo I (FL)  ; 2012 ; 358 000 ; 105 000 ; 3 февраля;  ; 1.9 л; 132 л.с.; механика; бензин; АИ-92; передний; 14 с; Россия; 5; 5; 4390; 1765; 1705; 2510; 424/790; 1465; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 175; 14; АИ-92; переднее, поперечное; 1845; нет; 132 / 97 при 5750; 170 при 4300 – 4750; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 89.5
5; Vortex Tingo I  ; 2012 ; 375 000 ; 72 000 ; 24 апреля; 3,5; 1.9 л; 132 л.с.; робот; бензин; АИ-98; передний; 13 с; Россия; 5; 5; 4285; 1765; 1715; 2510; ; 1465; робот; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 170; 13; АИ-98; переднее, поперечное; 1845; нет; 132 / 93 при 5750; 170 при 4300 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 89.5
6; Vortex Tingo I  ; 2011 ; 290 000 ; 73 000 ; 11 марта; 3,5; 1.9 л; 132 л.с.; механика; бензин; АИ-95; передний; 12.5 с; Россия; 5; 5; 4285; 1765; 1715; 2510; ; 1465; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 175; 12.5; АИ-95; переднее, поперечное; 1845; нет; 132 / 93 при 5750; 170 при 4300 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 89.5
7; Vortex Tingo I (FL)  ; 2013 ; 385 000 ; 58 000 ; 23 апреля;  ; 1.9 л; 132 л.с.; механика; бензин; АИ-92; передний; 14 с; Россия; 5; 5; 4390; 1765; 1705; 2510; 424/790; 1465; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 175; 14; АИ-92; переднее, поперечное; 1845; нет; 132 / 97 при 5750; 170 при 4300 – 4750; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 89.5
8; Vortex Tingo I  ; 2011 ; 299 000 ; 83 000 ; 23 апреля; 3,5; 1.9 л; 132 л.с.; механика; бензин; АИ-95; передний; 12.5 с; Россия; 5; 5; 4285; 1765; 1715; 2510; ; 1465; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 175; 12.5; АИ-95; переднее, поперечное; 1845; нет; 132 / 93 при 5750; 170 при 4300 – 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 89.5
9; Vortex Estina I  ; 2009 ; 189 900 ; 125 000 ; 23 апреля; 4,0; 1.6 л; 119 л.с.; механика; бензин; АИ-95; передний; 11.2 с; Россия; 4; 5; 4552; 1750; 1483; 2600; 500; 1365; механика; 5; передний; независимая, пружинная; независимая, пружинная; дисковые вентилируемые; дисковые; 185; 11.2; АИ-95; переднее, поперечное; 1597; нет; 119 / 88 при 6150; 147 при 4500; рядное; 4; 4; распределенный впрыск (многоточечный); 10.5; 81 × 77.1
